region,selectedRegion,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Uttar Pradesh,,247075527.09999999,249264462.90000001,262626027.30000001,268241312.09999999,278904357.10000002,292565400.80000001,306965178.39999998,311554361.80000001,322481025.39999998,342070995.30000001,357585300.80000001,378698950.60000002,397079665.39999998,430948419.30000001,468314903.10000002,508409099,552262106.70000005,564485283.70000005,550608568.60000002,562110157.70000005,574265933.70000005,573554795.89999998,571379121.70000005,621588342.70000005,683453665.20000005,754905302.60000002,828565830.10000002,893010343.20000005,945796505.29999995,991598125
Maharashtra,Maharashtra,200002641.80000001,201614499.19999999,212890800.69999999,226861295.19999999,246194357,269517498.80000001,294922672.89999998,311179333.30000001,335133518.89999998,370415687.5,379582085.5,394725112.30000001,406304440.89999998,434290533.39999998,465062751.19999999,497682236.10000002,533135967.80000001,569536883.89999998,578496787.39999998,617348847.89999998,659480660,687435099.5,714625167.70000005,765349098.89999998,828683724.5,901043363.70000005,972361616.5,1053201857,1119515377,1177098658
Telangana,,162021807.69999999,163198976.59999999,172704404.69999999,177276043.09999999,185711397.30000001,196536609.90000001,208070749.90000001,212111727,221150217.30000001,237154050.09999999,236153880.90000001,238866186.69999999,239061979.59999999,248951269.09999999,259753585.19999999,270834053.10000002,282687605.39999998,290718598.5,283721679.10000002,291433177.5,299621735.30000001,300362341.30000001,300276369.19999999,297472321.5,298271829,300593286.80000001,300883091.30000001,325856364.89999998,346341189.30000001,364128765.80000001
Bihar,Bihar,127207526.59999999,128371725,135143779.59999999,136698574.90000001,140689797.40000001,146041947.69999999,151623198.40000001,152414875.59999999,156156198.40000001,163829376.40000001,171040248.19999999,180800307.80000001,189247023.59999999,204770484.09999999,221805911.40000001,239983053.40000001,259755499.90000001,257615623.5,243659089.59999999,240277187,236489561.5,227033792,216691445.5,238829096.80000001,265111297.40000001,294724583.10000002,324812805.30000001,349123337.39999998,369022971,386284545.30000001
Madhya Pradesh,,121707081.2,122765280.09999999,129404524,133984812.90000001,141236151.30000001,150200080.80000001,159748593.19999999,164244067.19999999,172245037.59999999,185172576.19999999,189067991.59999999,195606710.90000001,200334201.80000001,212403006.59999999,225440997.59999999,238981122.5,253423171.40000001,253619670.59999999,241467541.59999999,239792932.80000001,237387773.90000001,228671486.5,218549451.09999999,248659219.30000001,284799237.10000002,326494171.80000001,370696507.10000002,399785510.39999998,423616294.60000002,444295514.89999998
West Bengal,,116051674.90000001,117059559.8,123393674.09999999,129151810.5,137567237.59999999,147772385.59999999,158690504.09999999,164675097.40000001,174249326.59999999,188955109.90000001,192662669.5,199173593.5,203937827.5,216343783.5,229895964.59999999,244135753.09999999,259498599.30000001,273925383.5,275797435.39999998,290811360.60000002,306905936.19999999,316540628.60000002,325635821.60000002,352296073.5,385309519.69999999,423371823.89999998,462194460,498738023.80000001,528680215.60000002,554664694
Gujarat,,102906007.7,103734008,109539808.5,115977658.8,125103666.7,136181808.80000001,148226607.30000001,155606454.90000001,166789878.90000001,183530900,191803760.19999999,203388884.5,213441769.80000001,232632853.09999999,254017410.80000001,277177680.69999999,302762534.10000002,324353623.19999999,330095640.5,353039357.19999999,377841894.89999998,394400526.5,410452956.39999998,436283567.19999999,469303200,507421864.30000001,544917773,590821801.20000005,628489952.60000002,661205416.10000002
Andhra Pradesh,,102126084.3,103017812.3,108578065.59999999,116315617.40000001,126701328.8,139089294.5,152556722.30000001,161594555,174453207.5,192943877.59999999,199700005.5,209624794.59999999,217954862.40000001,234977692.30000001,253871657.80000001,274209152.30000001,296576845.69999999,327388579.80000001,344095082.60000002,379360831.80000001,418637073.19999999,450996468.89999998,484477098.69999999,459329683.10000002,435543957.69999999,409097700.89999998,374631591,405455389.30000001,430733693.89999998,452680949
Tamil Nadu,,89591852.810000002,90355066.890000001,95287778.280000001,103191557.5,113638676.5,126112936.59999999,139811754.30000001,149553035.90000001,163089027.59999999,182288100.30000001,184645261.5,189728368.5,193045824.5,203774758,215521231.5,227831647.69999999,241122742.5,278541478.39999998,305923715.60000002,352529995.30000001,406455856.19999999,457003796.89999998,512076471.60000002,543744737.5,583252630,627743364.10000002,669988439.5,725908470.10000002,771784525.89999998,811623123.39999998
Karnataka,,88912732.25,89671137.370000005,94563622.640000001,100149979.2,108023926.8,117586620,128030470.5,134659516,144551189.19999999,159211434.90000001,166975371.59999999,177537040.80000001,186808888.19999999,203825854.19999999,222712629.30000001,243108121.30000001,265553727,288964715.5,299267232.80000001,325386395.5,354204579.5,376379348.5,398879420.19999999,409085359.89999998,424502338,442696640.39999998,458561623.5,496468791.30000001,527559633.19999999,554555162.20000005
