region,selectedRegion,year,GDP,NTL,lnNTL,lnGDP
Uttar Pradesh,,1992,262626027.3,824818,13.622918047043003,19.386241628782905
Maharashtra,Maharashtra,1992,212890800.7,1155544,13.960081795379315,19.176289919442127
Telangana,,1992,172704404.7,382276,12.8538981659499,18.967092047713493
Bihar,Bihar,1992,135143779.6,63276,11.05526154735626,18.721849803730358
Madhya Pradesh,,1992,129404524.0,580640,13.271886239669273,18.678453900780063
West Bengal,,1992,123393674.1,325754,12.693897804965045,18.6308904047504
Gujarat,,1992,109539808.5,658161,13.397204876422892,18.511798589098493
Andhra Pradesh,,1992,108578065.6,396857,12.891331318467838,18.502979970847257
Tamil Nadu,,1992,95287778.28,618949,13.335778173475683,18.372412115699433
Karnataka,,1992,94563622.64,401442,12.902818368562604,18.36478342137893
Jharkhand,,1992,88863454.68,111218,11.619247608116098,18.302611532501597
Rajasthan,,1992,85304419.28,634578,13.360715505781712,18.261736819795146
Chhattisgarh,,1992,73304651.45,130580,11.779741421322028,18.110134622551573
Kerala,Kerala,1992,71530189.36,194770,12.179574705566553,18.085630147361925
Punjab,Punjab,1992,64235203.74,536188,13.192240143474677,17.9780619632339
Uttarakhand,,1992,62278058.12,53655,10.890330126737132,17.94711972461096
NCT of Delhi,Delhi,1992,60812947.7,93034,11.440720404208571,17.923313279856675
Haryana,,1992,45382106.84,467035,13.05415950172117,17.630628462857945
Odisha,,1992,39538950.65,129011,11.767653028539014,17.49279683640668
Assam,,1992,32081698.18,139992,11.849340628534234,17.283796275347076
Puducherry,,1992,11744911.94,8579,9.057073801209306,16.278930678388466
Himachal Pradesh,,1992,10343861.1,34052,10.435644340672413,16.151903771269424
Jammu and Kashmir,,1992,8918445.228,81188,11.304522855148422,16.003632187570147
Tripura,,1992,4403274.168,16730,9.724959391709321,15.297858951252618
Goa,Goa,1992,3453453.126,19991,9.90303795148072,15.054885194521992
Manipur,,1992,3156059.566,10012,9.211540651352603,14.964834834660794
Meghalaya,,1992,3140706.975,8567,9.05567405923312,14.959958483815578
Nagaland,,1992,2968046.444,4401,8.389589339019372,14.903414531394954
Sikkim,Sikkim,1992,1623046.989,1471,7.293704518674864,14.299815798018479
Mizoram,,1992,1366471.666,2310,7.745007132510799,14.127742549411545
Lakshadweep,,1992,542926.5447,124,4.820362207514681,13.204729312969762
Uttar Pradesh,,1993,268241312.1,865467,13.67102453617639,19.407397551625348
Maharashtra,Maharashtra,1993,226861295.2,1369309,14.12981679830306,19.239849354326868
Telangana,,1993,177276043.1,510325,13.142803076237142,18.99321864121543
Bihar,Bihar,1993,136698574.9,91756,11.426888267858711,18.733288876621547
Madhya Pradesh,,1993,133984812.9,673188,13.419779930682664,18.713237014924946
West Bengal,,1993,129151810.5,358691,12.790216600479786,18.67649909599091
Gujarat,,1993,115977658.8,798208,13.590124506625347,18.568908133969817
Andhra Pradesh,,1993,116315617.4,581672,13.27366201115478,18.571817893942022
Tamil Nadu,,1993,103191557.5,743196,13.518715097791357,18.452097600494806
Karnataka,,1993,100149979.2,538070,13.195743960789256,18.42217941238761
Jharkhand,,1993,90963792.93,123176,11.721369587094397,18.325972105415808
Rajasthan,,1993,90466659.48,726543,13.49605296189188,18.32049193725699
Chhattisgarh,,1993,75067965.79,112481,11.630539686378288,18.133904471673052
Kerala,Kerala,1993,71674841.35,233528,12.36105730607025,18.08765035626771
Punjab,Punjab,1993,69632766.19,535073,13.190158483857049,18.05874579311513
Uttarakhand,,1993,63864884.16,58366,10.974488978828665,17.97228022463133
NCT of Delhi,Delhi,1993,68314980.78,90854,11.417009211540382,18.03963963841091
Haryana,,1993,48514082.54,429662,12.97075415533568,17.697364675410412
Odisha,,1993,41448835.25,144741,11.882701286425343,17.539970339030138
Assam,,1993,32891151.9,153762,11.943161296439177,17.30871424035524
Puducherry,,1993,12068984.59,9237,9.130973519194601,16.306149462774297
Himachal Pradesh,,1993,11438586.72,33561,10.421120255479895,16.252502997822884
Jammu and Kashmir,,1993,11191630.71,80902,11.300993948226196,16.230676798893157
Tripura,,1993,4716143.155,24309,10.098602342499024,15.366501895352567
Goa,Goa,1993,3761210.548,23978,10.084892439316473,15.140251417805247
